#,RA,DEC,PMRA,PMDEC,PLX,PLX_ERR,BP_RP,RV,L,B,DIST_1000,"(u,v,w)"
8304115,278.7289536463764,-11.363668448403015,-13.729301126185387,-17.113662896978433,20.19833550536208,0.01689607836306095,1.5277042388916016,-14.204497337341309,20.948113014972645,-1.546999376159141,49.50909764752964,"(-11.430326212939436, -9.781490031198942, 1.3974700402206457)"
8305043,274.9510194284609,-11.337541054003779,-6.138775878294529,-54.378295965156525,11.77579932935222,0.04598468169569969,2.7197742462158203,112.68980765060353,19.24679368347828,1.7434012821146023,84.92240543829155,"(113.32399428049872, 17.884007422368192, -4.707310332859263)"
8305185,290.8228264176872,9.998683844337108,100.02117425888183,-47.60339558229661,12.600547778301317,0.029434191063046455,2.7340879440307617,-14.201252758970789,45.46074531167392,-2.4217795640915365,79.36246090592647,"(-12.554095973795501, -10.020390781944888, -40.992422599012016)"
8306861,278.3688249947745,-11.637080819090022,-288.44024585781665,-235.61456273665965,36.75340216087105,0.015737446025013924,1.5630931854248047,-87.20193481445312,20.542814585076655,-1.3595683777673162,27.208375358782177,"(-65.73137139868454, -71.74176726441485, 21.078225683769123)"
8308414,286.92508726391196,9.550436549953428,-92.48747327335687,-158.26877757434644,13.23160171886703,0.014876644127070904,1.2436113357543945,5.977487564086914,43.276041553271725,0.7695311589769991,75.57682387536602,"(49.28229623895476, -43.68715541080918, 3.405358202097439)"
8309780,275.870920102981,-10.326176484303184,3.975123015958607,-0.5297136805098853,12.25544752484413,0.02923550084233284,2.7773799896240234,-23.018193206103113,20.564542158500487,1.420859673080323,81.5972582960427,"(-21.700263151751088, -7.5658194873509785, -2.024948397366834)"
8310806,289.5257309291719,9.53230049281907,2.5547160229444934,-214.93424776187118,17.210837236648857,0.030587151646614075,3.000600814819336,13.705181528879834,44.44882259184581,-1.5113979683396181,58.103282234895914,"(45.677320139141564, -28.064948150790713, -28.618271930733744)"
8312360,289.60829731365203,9.63690109089219,-13.17599252716253,-125.27939094669799,17.245904045198454,0.012656143866479397,1.9012670516967773,2.2431886196136475,44.57938521814194,-1.53452665453145,57.98484343094401,"(23.909341140637753, -21.559925342944197, -12.942789178324432)"
8314271,287.5729467959826,9.622333357559734,131.9305881880352,120.27312524264703,14.657693121404938,0.018279284238815308,2.0676651000976562,-34.00508281198265,43.63433863605983,0.2357854301024794,68.22376454739754,"(-61.9569414693367, 15.823248131379634, -20.022799520468986)"
8314899,275.73165792002567,-9.738332553244641,33.39587190272929,10.062416783527592,10.656933452721947,0.026438262313604355,2.6352882385253906,-8.311872906215426,21.019930867250967,1.8172852386977074,93.83672483497207,"(-11.342461096890652, 7.331510745651171, -11.28740929599271)"
8316274,235.82873967969397,-49.59579294411646,50.911808460294225,-210.64532552097174,17.89906710066625,0.026411863043904305,2.8749799728393555,58.50344917983455,329.2301966593284,4.29425309005903,55.869070022097844,"(41.616053630998245, -51.82113080860768, -47.95307376961763)"
8316735,291.4312053595802,9.92912982074373,-11.614885335635554,23.562213302677637,13.356348855213973,0.014908507466316223,1.8191194534301758,-30.755154801270667,45.68235456310623,-2.9829216365584053,74.87094036125086,"(-25.060433075267618, -17.905002586583777, 9.175805325124728)"
8318388,287.42416676580297,9.81459765922654,126.64192516656023,-353.9828451401533,42.75033032508492,0.015305486507713795,2.8640356063842773,-36.97876235340907,43.73720500838667,0.45462138248768763,23.391638047087326,"(-6.945452467123516, -45.87653829605601, -30.862203813321383)"
8323554,234.9836428139173,-50.334161652668286,-2.726657053195428,-45.846598520966296,12.555726734792234,0.026482751592993736,2.7003965377807617,-13.870928256054166,328.34885328909127,4.033466293930442,79.64561227986167,"(-16.853506617429275, -2.7484935207531263, -14.1948752195257)"
8368883,296.29665042698394,22.987613102569,1.575301054814818,-3.3650029881016694,10.08672276357246,0.014210907742381096,1.1255807876586914,17.0939884185791,59.36480957375698,-0.7056095089693576,99.14060260462065,"(9.560030519450759, 14.183090888262756, -1.642962168332558)"
8375762,296.58386563732375,23.380793411730327,-5.899709532797914,-24.217997418047016,10.266617786877172,0.012315666303038597,1.7707452774047852,14.38181050830429,59.837415098765,-0.7368620886298327,97.4033278156412,"(16.7474663634942, 6.851479603073589, -3.4470366940532595)"
8378679,240.88123511202733,-53.13024852887757,-48.70995445547754,-17.79963508814685,10.617812650425542,0.015477340668439865,2.1315040588378906,24.7196188717919,329.4225060919157,-0.4370951579816916,94.18173803598506,"(10.366883797335543, -31.173230624036833, 8.241166090781764)"
8391032,240.1554268264681,-53.95029573737432,-56.363846475150666,9.140387778839653,16.659136951240313,0.023495564237236977,2.628678321838379,-27.86670991610581,328.558145910342,-0.7709458078571872,60.02735086737232,"(-29.070959437223202, 5.548138193726846, 12.831929125060526)"
8391190,239.9814818781737,-53.01187459215943,66.6133517617009,-7.055256488583451,17.19940818445821,0.029532039538025856,2.865790367126465,42.51983961631363,329.09268378073483,0.007279025613109958,58.141868276251785,"(42.98098436741189, -10.987799661633767, -13.442821581335227)"
8391632,239.73909043313247,-52.994736440049664,-48.31536471250467,-39.405792681207785,10.025855147078886,0.01664959080517292,2.0574188232421875,-20.653389067916137,328.99310531614987,0.11523291168531231,99.74263800273775,"(-32.885383318535006, -14.620324154494066, 0.6336883514834963)"
8401954,256.88098795280564,-48.24848094368044,26.33218060451554,-35.90150109022393,36.527404396364716,0.01800639182329178,1.371689796447754,-20.97425079345703,339.84271960142564,-4.622123153189698,27.376718819311918,"(-20.629661897801878, 5.760078405989436, -3.813736859965915)"
8403937,240.41271915261783,-53.1192301604173,-113.8726678252883,-13.529781865514991,26.592655284115473,0.02061150036752224,2.5885066986083984,15.026017905224236,329.2183512807121,-0.2434827552154354,37.60441250537383,"(4.306303047383596, -22.227187133880726, 11.448373064781288)"
8404756,238.33510791696276,-53.2786437033455,-19.23454614298054,-67.94841784757438,12.070066725193533,0.014700097031891346,1.0750160217285156,-19.740686416625977,328.1651315092659,0.43842191396760266,82.84981901431365,"(-28.679480819749756, -8.998219775118473, -15.98291150998809)"
8408183,256.4176136882747,-48.62178586773765,31.173663540173145,-114.27845820234407,11.673592471513023,0.021395981311798096,2.524341583251953,88.2492607286,339.3580890162856,-4.599296255928002,85.66398334097869,"(69.06850393387296, -57.53809948119821, -44.952337605431694)"
8428065,181.76095137970748,-58.33170848208906,-148.41076798970354,-63.37204855130174,11.716514608672194,0.018235307186841965,2.4499940872192383,-6.152618731780027,297.1171686471378,4.037949617705751,85.35000990603692,"(-50.38831330957977, -21.72299554328526, -35.917065264644236)"
